Sl. No.,State/UT,City / Town,Annual Average Concentration of PM10 (µg/m3) - National Standard (Annual Average): 60 µg/m3
1,Haryana,Sonepat,319
2,Jharkhand,Jharia,314
3,Jharkhand,Dhanbad,247
4,Uttar Pradesh,Gorakhpur,241
5,Uttar Pradesh,Ghaziabad,233
6,Haryana,Faridabad,230
7,Meghalaya,Byraihat,226
8,Uttar Pradesh,Greater Noida,221
9,Uttar Pradesh,Noida,215
10,Uttar Pradesh,Bagpat,211
11,Rajasthan,Bharatpur,210
12,Delhi,Delhi,207
13,Rajasthan,Bhiwadi,204
14,Uttar Pradesh,Kanpur,199
15,Uttar Pradesh,Meerut,199
16,Haryana,Panipat,196
17,Uttar Pradesh,Bulandshahr,195
18,Haryana,Dharuhera,187
19,Uttar Pradesh,Moradabad,184
20,Uttar Pradesh,Khurja,183
21,Madhya Pradesh,Singrauli,182
22,Punjab,Chowkimann (Jagraon),182
23,Uttar Pradesh,Saharanpur,181
24,Jharkhand,Sindri,179
25,Uttar Pradesh,Bareily,177
26,Haryana,Narnaul,175
27,Haryana,Gurgaon,174
28,Uttar Pradesh,Gajroula,174
29,Uttar Pradesh,Lucknow,174
30,Uttar Pradesh,Muzaffarnagar,173
31,Jammu and Kashmir,Jammu,172
32,Uttar Pradesh,Mathura,170
33,Rajasthan,Jodhpur,168
34,Haryana,Yamuna Nagar,166
35,Uttar Pradesh,Ayodhya,166
36,Haryana,Ballabgarh,165
37,Uttar Pradesh,Aligarh,165
38,Uttar Pradesh,Hapur,165
39,Haryana,Manesar,164
40,Uttar Pradesh,Agra,164
41,West Bengal,Durgapur,163
42,Haryana,Hissar,162
43,Uttar Pradesh,Firozabad,162
44,Gujarat,Vatva,160
45,Haryana,CharkhiDadri,156
46,Uttarakhand,Dehradun,154
47,Haryana,Fatehabad,153
48,Uttar Pradesh,Anpara,153
49,Bihar,Patna,150
50,Punjab,Ludhiana,149
51,Bihar,Hajipur,148
52,Haryana,Jind,145
53,Haryana,Kaithal,144
54,Bihar,Muzaffarpur,142
55,Haryana,Kurukshetra,142
56,Madhya Pradesh,Katni,142
57,Himachal Pradesh,Baddi,139
58,Punjab,Bishanpura (Payal),137
59,Haryana,Bhiwani,135
60,Maharashtra,Thane,135
61,Uttar Pradesh,Allahabad,133
62,Uttar Pradesh,Varanasi,133
63,Uttarakhand,Rishikesh,132
64,West Bengal,Raniganj,130
65,Haryana,Sirsa,129
66,Odisha,Rajgangpur,129
67,West Bengal,Howrah,129
68,Jammu and Kashmir,Pulwama (K),128
69,Maharashtra,Roha,128
70,Punjab,Tirathpur (Amritsar I),128
71,Haryana,Palwal,127
72,Uttar Pradesh,Unnao,127
73,Punjab,Rupnagar,126
74,West Bengal,Sankrail,126
75,Odisha,Rourkela,125
76,Rajasthan,Jaipur,124
77,West Bengal,Kharagpur,124
78,West Bengal,Tamluk,124
79,Manipur,Imphal,123
80,Uttarakhand,Rudrapur,123
81,West Bengal,Asansol,123
82,Haryana,Ambala,122
83,Punjab,GobindgarhMandi,122
84,Gujarat,Ahmedabad,121
85,Maharashtra,Dombivali / Kalyan,121
86,West Bengal,Baruipur,121
87,Gujarat,Ankleshwar,120
88,Punjab,Jalandhar,120
89,Rajasthan,Udaipur,120
90,Haryana,Karnal,119
91,Madhya Pradesh,Bhopal,119
92,Punjab,Rohila (Samrala),119
93,Rajasthan,Chittorgargh,119
94,Gujarat,Rajkot,118
95,Himachal Pradesh,Kala Amb,118
96,Rajasthan,Pali,118
97,Uttarakhand,Kashipur,118
98,Uttar Pradesh,Jhansi,117
99,Uttarakhand,Haridwar,117
100,Gujarat,Jamnagar,116
101,Punjab,Amritsar,116
102,Jharkhand,Saraikela,115
103,Madhya Pradesh,Gwalior,115
104,Odisha,Kalinga Nagar,115
105,West Bengal,Uluberia,115
106,Assam,Guwahati,114
107,Gujarat,Vapi,114
108,Madhya Pradesh,Jabalpur,114
109,Odisha,Paradeep,114
