Sl. No.,State/UT,Tree Cover - 2019,Tree Cover - 2021
1,Andhra Pradesh,3914,4679
2,Arunachal Pradesh,848,1001
3,Assam,1408,1630
4,Bihar,2003,2341
5,Chhattisgarh,4248,5355
6,Delhi,129,147
7,Goa,272,244
8,Gujarat,6912,5489
9,Haryana,1565,1425
10,Himachal Pradesh,829,675
11,Jammu and Kashmir (including Ladakh),7944,4465
12,Jharkhand,2657,2867
13,Karnataka,6257,7494
14,Kerala,2936,2820
15,Madhya Pradesh,8339,8054
16,Maharashtra,10806,12108
17,Manipur,173,169
18,Meghalaya,710,698
19,Mizoram,441,444
20,Nagaland,362,365
21,Odisha,4648,5004
22,Punjab,1592,1138
23,Rajasthan,8112,8733
24,Sikkim,36,39
25,Tamil Nadu,4830,4424
26,Telangana,2514,2848
27,Tripura,231,228
28,Uttar Pradesh,7342,7421
29,Uttarakhand,841,1001
30,West Bengal,2006,2349
31,Andaman and Nicobar Island,41,23
32,Chandigarh,25,15
33,Dadar and Nagar Haveli and Daman and Diu,33,32
34,Lakshadweep,0.29,0.05
35,Pondicherry,23,23
Total,Total,95027,95748
