State/UTs,Geographical Area,ISFR 2015 - Total Forest Cover,ISFR 2015 - Total Forest Cover,ISFR 2019 - Total Forest Cover,ISFR 2021 - Total Forest Cover
Andhra Pradesh,162968,26006,28147,29137,29784
Arunachal Pradesh,83743,67154,66964,66688,66431
Assam,78438,27538,28105,28327,28312
Bihar,94163,7254,7299,7306,7381
Chhattisgarh,135192,55559,55547,55611,55717
Delhi,1483,188.77,192.41,195.44,195
Goa,3702,2210,2229,2237,2244
Gujarat,196244,14710,14757,14857,14926
Haryana,44212,1580,1588,1602,1603
Himachal Pradesh,55673,14707,15100,15434,15443
Jharkhand,79716,23524,23553,23611,23721
Karnataka,191791,36449,37550,38575,38730
Kerala,38852,19278,20321,21144,21253
Madhya Pradesh,308252,77426,77414,77482,77493
Maharashtra,307713,50699,50682,50778,50798
Manipur,22327,17083,17346,16847,16598
Meghalaya,22429,17262,17146,17119,17046
Mizoram,21081,18717,18186,18006,17820
Nagaland,16579,12939,12489,12486,12251
Odisha,155707,50460,51345,51619,52156
Punjab,50362,1771,1837,1849,1847
Rajasthan,342239,16106,16572,16630,16655
Sikkim,7096,3353,3344,3342,3341
Tamil Nadu,130060,26208,26281,26364,26419
Telangana,112077,19854,20419,20582,21214
Tripura,10486,7890,7726,7726,7722
Uttar Pradesh,240928,14401,14679,14806,14818
Uttarakhand,53483,24272,24295,24303,24305
West Bengal,88752,16826,16847,16902,16832
Andaman and Nicobar Islands,8249,6751,6742,6743,6744
Chandigarh,114,21.66,21.56,22.03,22.88
Dadra and Nagar Haveli,491,206,207,207,207.31
Daman and Diu,111,19.61,20.49,20.49,20.44
Jammu and Kashmir,222236,22988,23241,21122,21387
Ladakh,222236,0,0,2490,2272
Lakshadweep,30,27.06,27.1,27.1,27.1
Puducherry,490,56.95,53.67,52.41,53.3
Grand Total,3287469,701495,708273,712249,713789
